section,title,page_range,lecture_slides
1.1,"Systems of Linear Equations",19-28,"Lecture1.pdf; Lecture2.pdf"
1.2,"Row Reduction and Echelon Forms",29-40,"Lecture2.pdf"
1.3,"Vector Equations",41-51,"Lecture3.pdf"
1.4,"The Matrix Equation Ax (omited) b",52-59,"Lecture3.pdf"
1.5,"Solution Sets of Linear Systems",60-66,"Lecture3.pdf; Lecture4.pdf"
1.7,"Linear Independence",73-79,"Lecture4.pdf; Lecture5.pdf"
1.8,"Introduction to Linear Transformations",80-87,"Lecture5.pdf"
1.9,"The Matrix of a Linear Transformation",88-97,"Lecture5.pdf; Lecture6.pdf"
2.1,"Matrix Operations",111-120,"Lecture6.pdf; Lecture7.pdf"
2.2,"The Inverse of a Matrix",121-129,"Lecture8.pdf"
2.3,"Characterizations of Invertible Matrices",130-135,"Lecture8.pdf; Lecture9.pdf"
3.1,"Introduction to Determinants",183-187,"Lecture9.pdf"
3.2,"Properties of Determinants",188-195,"Lecture10.pdf"
3.3,"Cramer’s Rule, Volume, and Linear Transformations",196-208,"Lecture10.pdf; Lecture11.pdf"
4.1,"Vector Spaces and Subspaces",209-216,"Lecture11.pdf; Lecture12.pdf"
4.2,"Null Spaces, Column Spaces, and Linear Transformations",217-226,"Lecture12.pdf"
4.3,"Linearly Independent Sets; Bases",227-234,"Lecture12.pdf; Lecture13.pdf"
4.4,"Coordinate Systems",235-243,"Lecture13.pdf; Lecture14.pdf"
4.5,"The Dimension of a Vector Space",244-248,"Lecture14.pdf; Lecture15.pdf"
4.6,"Rank",249-257,"Lecture15.pdf"
5.1,"Eigenvectors and Eigenvalues",285-292,"Lecture16.pdf"
5.2,"The Characteristic Equation",293-299,"Lecture16.pdf; Lecture17.pdf"
5.3,"Diagonalization",300-306,"Lecture17.pdf; Lecture18.pdf"
5.4,"Eigenvectors and Linear Transformations",307-313,"Lecture18.pdf"
5.5,"Complex Eigenvalues",314-319,"Lecture18.pdf; Lecture19.pdf"
6.1,"Inner Product, Length, and Orthogonality",349-356,"Lecture19.pdf"
6.2,"Orthogonal Sets",357-365,"Lecture20.pdf"
6.3,"Orthogonal Projections",366-372,"Lecture20.pdf; Lecture21.pdf"
6.4,"The Gram–Schmidt Process",373-378,"Lecture21.pdf; Lecture22.pdf"
6.5,"Least-Squares Problems",379-386,"Lecture22.pdf; Lecture23.pdf"
6.6,"Applications to Linear Models",387-394,"Lecture23.pdf"
6.7,"Inner Product Spaces",395-401,"Lecture23.pdf; Lecture24.pdf"
7.1,"Diagonalization of Symmetric Matrices",414-419,"Lecture24.pdf; Lecture25.pdf"
7.2,"Quadratic Forms",420-426,"Lecture25.pdf; Lecture26.pdf"
7.4,"The Singular Value Decomposition",433-442,"Lecture26.pdf; Lecture27.pdf; Lecture28.pdf"
